Date,Day
2020-01-01,New Year Day
2020-01-06,Epiphany
2020-04-10,Good Friday
2020-04-12,Easter Day
2020-04-13,Easter Monday
2020-05-01,May Day
2020-05-21,Ascension Day
2020-06-20,Midsummer Day
2020-10-31,All Saint's Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2021-01-01,New Year Day
2021-01-06,Epiphany
2021-04-02,Good Friday
2021-04-04,Easter Day
2021-04-05,Easter Monday
2021-05-01,May Day
2021-05-13,Ascension Day
2021-06-26,Midsummer Day
2021-11-06,All Saints' Day
2021-12-25,Christmas Day
2021-12-26,Boxing Day
2022-01-01,New Year Day
2022-01-06,Epiphany
2022-04-15,Good Friday
2022-04-17,Easter Day
2022-04-18,Easter Monday
2022-05-01,May Day
2022-05-26,Ascension Day
2022-06-25,Midsummer Day
2022-11-05,All Saints' Day
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2023-01-01,New Year Day
2023-01-06,Epiphany
2023-04-07,Good Friday
2023-04-09,Easter Day
2023-04-10,Easter Monday
2023-05-01,May Day
2023-05-18,Ascension Day
2023-06-24,Midsummer Day
2023-11-04,All Saints' Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
