ID,Sales
2023-01-05_0,42917.9287030397
2023-01-05_1,46308.70261474679
2023-01-05_2,440309.5616691369
2023-01-06_0,42917.9287030397
2023-01-06_1,53277.944759846134
2023-01-06_2,594166.5017316545
2023-01-07_0,18453.76534042178
2023-01-07_1,76833.00801380505
2023-01-07_2,137873.6900265746
2023-01-08_0,12768.987165464187
2023-01-08_1,18602.942466489763
2023-01-08_2,300538.34034047765
2023-01-09_0,20509.891387000243
2023-01-09_1,53277.944759846134
2023-01-09_2,369225.2250038899
2023-01-10_0,25181.49787691847
2023-01-10_1,62693.344417165456
2023-01-10_2,440309.5616691369
2023-01-11_0,28984.547197774376
2023-01-11_1,62693.344417165456
2023-01-11_2,369225.2250038899
2023-01-12_0,36479.69450097935
2023-01-12_1,46308.70261474679
2023-01-12_2,440309.5616691369
2023-01-13_0,42917.9287030397
2023-01-13_1,52330.36412998571
2023-01-13_2,594166.5017316545
2023-01-14_0,18453.76534042178
2023-01-14_1,62693.344417165456
2023-01-14_2,137873.6900265746
2023-01-15_0,12768.987165464187
2023-01-15_1,18602.942466489763
2023-01-15_2,300538.34034047765
2023-01-16_0,20509.891387000243
2023-01-16_1,42316.894705536164
2023-01-16_2,369225.2250038899
2023-01-17_0,25181.49787691847
2023-01-17_1,53277.944759846134
2023-01-17_2,440309.5616691369
2023-01-18_0,28984.547197774376
2023-01-18_1,62693.344417165456
2023-01-18_2,369225.2250038899
2023-01-19_0,35831.74048496106
2023-01-19_1,46308.70261474679
2023-01-19_2,440309.5616691369
