ID,Sales
2023-01-05_0,42883.72946867535
2023-01-05_1,58448.56333702053
2023-01-05_2,453061.17157044495
2023-01-06_0,39749.71222864682
2023-01-06_1,53555.93178627657
2023-01-06_2,523885.38321601803
2023-01-07_0,28872.964851590736
2023-01-07_1,93678.79646347814
2023-01-07_2,270307.3774242918
2023-01-08_0,17546.902443237206
2023-01-08_1,23844.473322299717
2023-01-08_2,339166.2105373281
2023-01-09_0,20843.151902602796
2023-01-09_1,35944.10197725416
2023-01-09_2,337457.08737802174
2023-01-10_0,26134.404445563134
2023-01-10_1,48703.94747947423
2023-01-10_2,386533.65929310065
2023-01-11_0,36150.07585927284
2023-01-11_1,58836.55634994189
2023-01-11_2,402080.8027703701
2023-01-12_0,40563.23540459689
2023-01-12_1,58956.500456991096
2023-01-12_2,409990.52294838557
2023-01-13_0,51778.02590845644
2023-01-13_1,69188.46391120751
2023-01-13_2,582431.189063959
2023-01-14_0,39260.769628957256
2023-01-14_1,85433.10469911266
2023-01-14_2,422096.38012326625
2023-01-15_0,16487.981970813427
2023-01-15_1,23868.048586972644
2023-01-15_2,346980.18483407906
2023-01-16_0,21453.77187463472
2023-01-16_1,28396.908497972523
2023-01-16_2,337986.63524372526
2023-01-17_0,30304.893871128286
2023-01-17_1,46733.514461293795
2023-01-17_2,408343.8271717237
2023-01-18_0,36516.40285292733
2023-01-18_1,59906.61825432255
2023-01-18_2,406600.78129366395
2023-01-19_0,40593.590158112835
2023-01-19_1,59437.00066657615
2023-01-19_2,415751.5189432403
