ID,Sales
2023-01-05_0,28987.14420595567
2023-01-05_1,44319.904032606035
2023-01-05_2,335865.4191826941
2023-01-06_0,34239.94784618086
2023-01-06_1,49421.40912207566
2023-01-06_2,356126.4165490555
2023-01-07_0,33558.32415533429
2023-01-07_1,60095.29725429625
2023-01-07_2,371940.81835691025
2023-01-08_0,36032.00473279719
2023-01-08_1,50564.50246954159
2023-01-08_2,394201.5310961721
2023-01-09_0,20269.404203685946
2023-01-09_1,33333.64155966379
2023-01-09_2,284105.2132981459
2023-01-10_0,21354.52310720759
2023-01-10_1,33162.68825653441
2023-01-10_2,293111.9944573508
2023-01-11_0,30176.98563719416
2023-01-11_1,39895.098443680065
2023-01-11_2,276837.0344885018
2023-01-12_0,38062.94505491546
2023-01-12_1,49937.2768518785
2023-01-12_2,382645.38861966727
2023-01-13_0,35338.143487151894
2023-01-13_1,52422.9951019215
2023-01-13_2,391332.1797805633
2023-01-14_0,38724.02927401053
2023-01-14_1,62270.945064537686
2023-01-14_2,429959.68445224693
2023-01-15_0,38337.52023020919
2023-01-15_1,52966.748362044906
2023-01-15_2,370691.8857341828
2023-01-16_0,24695.48103833944
2023-01-16_1,35564.12750436887
2023-01-16_2,285805.5914918433
2023-01-17_0,26475.36931477721
2023-01-17_1,45295.40727321761
2023-01-17_2,330601.8575581615
2023-01-18_0,34050.13579292811
2023-01-18_1,51750.02175471869
2023-01-18_2,402940.9402761759
2023-01-19_0,32690.78922025566
2023-01-19_1,50530.37599602015
2023-01-19_2,427818.6536206746
