ID,Sales
2023-01-05_0,48612.51350678238
2023-01-05_1,51675.12514389254
2023-01-05_2,502289.9606938105
2023-01-06_0,41448.77936146525
2023-01-06_1,50701.64685837524
2023-01-06_2,519177.6965497755
2023-01-07_0,28366.84587079744
2023-01-07_1,86950.67674282074
2023-01-07_2,254395.16964783077
2023-01-08_0,24352.170798405
2023-01-08_1,44849.3253800241
2023-01-08_2,346165.3705597158
2023-01-09_0,29041.43973124467
2023-01-09_1,56018.835117174836
2023-01-09_2,366501.6348154593
2023-01-10_0,27097.30433535189
2023-01-10_1,65237.600147760706
2023-01-10_2,396199.090620472
2023-01-11_0,36107.75085025375
2023-01-11_1,62493.52414039611
2023-01-11_2,385398.48266440275
2023-01-12_0,46577.96905621807
2023-01-12_1,55264.07659361474
2023-01-12_2,470073.54549004824
2023-01-13_0,43245.20760413658
2023-01-13_1,53772.02033715173
2023-01-13_2,499295.3590210462
2023-01-14_0,34384.28901714362
2023-01-14_1,79376.61029804742
2023-01-14_2,320999.6198684606
2023-01-15_0,32250.307744852544
2023-01-15_1,58270.97356157616
2023-01-15_2,368127.02459334873
2023-01-16_0,31908.76295625662
2023-01-16_1,57146.04867010619
2023-01-16_2,361402.0274129091
2023-01-17_0,30429.006269762813
2023-01-17_1,63188.153057023614
2023-01-17_2,375749.4507937155
2023-01-18_0,36383.33682263686
2023-01-18_1,62534.98666885844
2023-01-18_2,377270.43869506713
2023-01-19_0,44771.64335577189
2023-01-19_1,57015.93337459169
2023-01-19_2,440120.37317973905
