ID,Sales
2023-01-05_0,39941.25516177897
2023-01-05_1,54072.30546401749
2023-01-05_2,449300.2544998623
2023-01-06_0,46747.250122209625
2023-01-06_1,63729.52395272309
2023-01-06_2,594797.2045300787
2023-01-07_0,40495.77614151364
2023-01-07_1,100959.4094584281
2023-01-07_2,417993.9661262148
2023-01-08_0,17500.148011792593
2023-01-08_1,25216.052753341417
2023-01-08_2,353051.7688034854
2023-01-09_0,21542.96041513369
2023-01-09_1,37253.828076292564
2023-01-09_2,357625.62503603153
2023-01-10_0,25830.32132688043
2023-01-10_1,48804.55220557906
2023-01-10_2,400098.07088285155
2023-01-11_0,34643.41294466672
2023-01-11_1,56770.73561040919
2023-01-11_2,422424.3192137572
2023-01-12_0,38970.24594781389
2023-01-12_1,56011.362871401034
2023-01-12_2,447584.27243585384
2023-01-13_0,49973.97087952463
2023-01-13_1,67806.40536886333
2023-01-13_2,629697.1101164913
2023-01-14_0,47295.30590497624
2023-01-14_1,102741.5776772606
2023-01-14_2,542555.1054801428
2023-01-15_0,17812.171663996112
2023-01-15_1,25264.755783953085
2023-01-15_2,387950.3922518572
2023-01-16_0,20311.920432878345
2023-01-16_1,28296.101268062343
2023-01-16_2,359163.7940121007
2023-01-17_0,26148.000609395927
2023-01-17_1,41609.47934391136
2023-01-17_2,401006.45625991287
2023-01-18_0,33882.38571240419
2023-01-18_1,52220.7095236493
2023-01-18_2,434227.0800876929
2023-01-19_0,38727.4292405859
2023-01-19_1,56161.25803236674
2023-01-19_2,453273.4930037067
