ID,Sales
2023-01-05_0,40535.376785547574
2023-01-05_1,54642.30927354912
2023-01-05_2,440896.0253843014
2023-01-06_0,45887.42341377318
2023-01-06_1,62530.405503599795
2023-01-06_2,551727.5594325509
2023-01-07_0,38477.94661029871
2023-01-07_1,98031.70710548617
2023-01-07_2,394507.4378343378
2023-01-08_0,15816.630011482894
2023-01-08_1,24355.361167996893
2023-01-08_2,349968.56690028444
2023-01-09_0,20679.08335157059
2023-01-09_1,35342.19324032878
2023-01-09_2,357897.19391022413
2023-01-10_0,24504.080582674676
2023-01-10_1,48153.68853545408
2023-01-10_2,389220.0164946886
2023-01-11_0,34518.51668881191
2023-01-11_1,55435.95576855674
2023-01-11_2,409301.52333473385
2023-01-12_0,39041.70067966932
2023-01-12_1,55885.08038565116
2023-01-12_2,431602.7631319208
2023-01-13_0,48138.34319996679
2023-01-13_1,66720.17906876895
2023-01-13_2,558403.792268107
2023-01-14_0,46949.182279520086
2023-01-14_1,101623.51382997734
2023-01-14_2,491441.04103799263
2023-01-15_0,16620.19880418331
2023-01-15_1,24502.14756827135
2023-01-15_2,379062.1282875472
2023-01-16_0,19815.22907435964
2023-01-16_1,29319.076537624234
2023-01-16_2,359550.54703185137
2023-01-17_0,24908.225156400957
2023-01-17_1,41757.11972034662
2023-01-17_2,392071.9442981787
2023-01-18_0,33675.97844058311
2023-01-18_1,51343.45035598208
2023-01-18_2,416671.1988059031
2023-01-19_0,38098.66282580375
2023-01-19_1,55102.23696688695
2023-01-19_2,438483.3204081022
