ID,Sales
2023-01-05_0,44011.70061884534
2023-01-05_1,50969.29864539702
2023-01-05_2,451281.61726593296
2023-01-06_0,46937.3801739882
2023-01-06_1,63782.1538031463
2023-01-06_2,593281.5107415497
2023-01-07_0,26477.62788006034
2023-01-07_1,85593.7407660104
2023-01-07_2,268723.2705462546
2023-01-08_0,17844.73231138507
2023-01-08_1,26203.988798592865
2023-01-08_2,293214.2894570523
2023-01-09_0,22730.512673091318
2023-01-09_1,46494.381883934235
2023-01-09_2,338123.33260649926
2023-01-10_0,24527.198532839455
2023-01-10_1,59546.51750992211
2023-01-10_2,391782.47644115356
2023-01-11_0,33679.923094293605
2023-01-11_1,57930.40132940433
2023-01-11_2,375646.8478839258
2023-01-12_0,39661.03635580382
2023-01-12_1,52471.87791740151
2023-01-12_2,407638.3955967016
2023-01-13_0,46937.3801739882
2023-01-13_1,66955.34553820812
2023-01-13_2,570158.850480453
2023-01-14_0,34335.70023639357
2023-01-14_1,78586.92227376459
2023-01-14_2,351210.7236025841
2023-01-15_0,20286.15271959391
2023-01-15_1,29596.19244172608
2023-01-15_2,310058.60694305704
2023-01-16_0,23505.319956259227
2023-01-16_1,42928.97890537879
2023-01-16_2,338123.33260649926
2023-01-17_0,25588.64762861476
2023-01-17_1,55070.87322344581
2023-01-17_2,375646.8478839258
2023-01-18_0,33136.537303610305
2023-01-18_1,55618.85724877436
2023-01-18_2,375646.8478839258
2023-01-19_0,38080.406462104846
2023-01-19_1,52471.87791740151
2023-01-19_2,391782.47644115356
