Date,Company,Year,Month,Day,Weekday,DaysSinceSalary,Season,Holiday,Temperature,Precipitation,SalesScaled
2020-01-01,0,2020,1,1,2,7,3,2,5.2,0.0,0.15970954106019367
2020-01-01,1,2020,1,1,2,7,3,2,5.2,0.0,0.10165742940334355
2020-01-01,2,2020,1,1,2,7,3,2,5.2,0.0,0.037975128654434955
2020-01-02,0,2020,1,2,3,8,3,0,6.9,0.0,0.15447122085771642
2020-01-02,1,2020,1,2,3,8,3,0,6.9,0.0,0.24116677685076426
2020-01-02,2,2020,1,2,3,8,3,0,6.9,0.0,0.11826886404624214
2020-01-03,0,2020,1,3,4,9,3,0,7.7,0.4,0.3928960050161674
2020-01-03,1,2020,1,3,4,9,3,0,7.7,0.4,0.3969282351025016
2020-01-03,2,2020,1,3,4,9,3,0,7.7,0.4,0.15121446635195399
2020-01-04,0,2020,1,4,5,10,3,0,3.7,0.0,0.4917472395098402
2020-01-04,1,2020,1,4,5,10,3,0,3.7,0.0,0.5755150021812877
2020-01-04,2,2020,1,4,5,10,3,0,3.7,0.0,0.1267368975473375
2020-01-05,0,2020,1,5,6,11,3,0,3.2,1.7,0.18589664307052037
2020-01-05,1,2020,1,5,6,11,3,0,3.2,1.7,0.3865821095425061
2020-01-05,2,2020,1,5,6,11,3,0,3.2,1.7,0.09732747772792903
2020-01-06,0,2020,1,6,0,12,3,1,6.2,0.0,0.06980686255068476
2020-01-06,1,2020,1,6,0,12,3,1,6.2,0.0,0.2154640399312874
2020-01-06,2,2020,1,6,0,12,3,1,6.2,0.0,0.08853846237055221
2020-01-07,0,2020,1,7,1,13,3,0,6.2,0.0,0.07911231848316368
2020-01-07,1,2020,1,7,1,13,3,0,6.2,0.0,0.08043757076447561
2020-01-07,2,2020,1,7,1,13,3,0,6.2,0.0,0.08739427957238331
2020-01-08,0,2020,1,8,2,14,3,0,10.1,0.0,0.11465341696254895
2020-01-08,1,2020,1,8,2,14,3,0,10.1,0.0,0.09657240775599435
2020-01-08,2,2020,1,8,2,14,3,0,10.1,0.0,0.08117257959093688
2020-01-09,0,2020,1,9,3,15,3,0,3.5,0.0,0.10658964797534513
2020-01-09,1,2020,1,9,3,15,3,0,3.5,0.0,0.093120029963317
2020-01-09,2,2020,1,9,3,15,3,0,3.5,0.0,0.09792822209830712
2020-01-10,0,2020,1,10,4,16,3,0,0.4,0.0,0.4241214480978772
2020-01-10,1,2020,1,10,4,16,3,0,0.4,0.0,0.19650820835518168
2020-01-10,2,2020,1,10,4,16,3,0,0.4,0.0,0.17248337013735243
2020-01-11,0,2020,1,11,5,17,3,0,6.1,0.1,0.5466858822844034
2020-01-11,1,2020,1,11,5,17,3,0,6.1,0.1,0.4669190939396698
2020-01-11,2,2020,1,11,5,17,3,0,6.1,0.1,0.1397465902398532
2020-01-12,0,2020,1,12,6,18,3,0,7.8,0.0,0.06479322335275081
2020-01-12,1,2020,1,12,6,18,3,0,7.8,0.0,0.16075792013887372
2020-01-12,2,2020,1,12,6,18,3,0,7.8,0.0,0.0892147021936772
2020-01-13,0,2020,1,13,0,19,3,0,3.5,0.0,0.0671212228345149
2020-01-13,1,2020,1,13,0,19,3,0,3.5,0.0,0.04478568075328789
2020-01-13,2,2020,1,13,0,19,3,0,3.5,0.0,0.06766412150311335
2020-01-14,0,2020,1,14,1,20,3,0,5.2,5.300000000000001,0.0897130740356761
2020-01-14,1,2020,1,14,1,20,3,0,5.2,5.300000000000001,0.05289086311440748
2020-01-14,2,2020,1,14,1,20,3,0,5.2,5.300000000000001,0.08685326192005535
2020-01-15,0,2020,1,15,2,21,3,0,9.8,0.0,0.1509912492841921
2020-01-15,1,2020,1,15,2,21,3,0,9.8,0.0,0.0653897780421697
2020-01-15,2,2020,1,15,2,21,3,0,9.8,0.0,0.09634953038453432
2020-01-16,0,2020,1,16,3,22,3,0,8.1,0.0,0.14193399417528924
2020-01-16,1,2020,1,16,3,22,3,0,8.1,0.0,0.06398076996260374
2020-01-16,2,2020,1,16,3,22,3,0,8.1,0.0,0.10779919506791182
2020-01-17,0,2020,1,17,4,23,3,0,5.2,0.0,0.5098032109823635
2020-01-17,1,2020,1,17,4,23,3,0,5.2,0.0,0.24002780155326928
2020-01-17,2,2020,1,17,4,23,3,0,5.2,0.0,0.18064278449831134
2020-01-18,0,2020,1,18,5,24,3,0,6.0,0.0,0.5139833008058662
2020-01-18,1,2020,1,18,5,24,3,0,6.0,0.0,0.45736539439952184
2020-01-18,2,2020,1,18,5,24,3,0,6.0,0.0,0.16961409288662935
